timestamp,site,marca_buscada,produto,preco,url
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Lager Chopp Premium Heineken Barril 5l,"109,98",https://www.samsclub.com.br/cerveja-lager-chopp-premium-heineken-barril-5l-8712000026011/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Pack 8 Latas 269ml Cada,"36,98",https://www.samsclub.com.br/cerveja-heineken-pack-8-latas-269ml-cada-7896045506590/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Sleek Pack 12 Latas 350ml Cada,"68,48",https://www.samsclub.com.br/cerveja-heineken-sleek-pack-12-latas-350ml-cada-7896045506873/p
2026-06-24 15:24:57,Sam's Club,Heineken,Chopeira Elétrica Heineken Krups Beertender B101 127V 5l,"999,90",https://www.samsclub.com.br/chopeira-eletrica-heineken-krups-beertender-b101-127v-5l-3045386377626/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Lager Heineken Pack 6 Long Neck 330ml cada,"41,98",https://www.samsclub.com.br/cerveja-lager-heineken-pack-6-long-neck-330ml-cada-0000078936683/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Pack 8 Latas 269ml Cada,"36,98",https://www.samsclub.com.br/cerveja-heineken-zero-alcool-pack-8-latas-269ml-cada-7896045506859/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Heineken Zero Álcool Sleek Pack 12 Latas 350ml Cada,"68,48",https://www.samsclub.com.br/cerveja-heineken-zero-alcool-sleek-pack-12-latas-350ml-cada-7896045506910/p
2026-06-24 15:24:57,Sam's Club,Heineken,Cerveja Lager Premium Puro Malte Zero Álcool Heineken Pack com 6 Unidades 330ml Cada,"39,98",https://www.samsclub.com.br/cerveja-lager-premium-puro-malte-zero-alcool-heineken-pack-com-6-unidades-330ml-cada-7896045506040/p
2026-06-24 15:24:57,Sam's Club,Spaten,Cerveja Munich Helles Puro Malte Spaten Garrafa 600ml,"9,98",https://www.samsclub.com.br/cerveja-munich-helles-puro-malte-spaten-garrafa-600ml-789199129754/p
2026-06-24 15:24:57,Sam's Club,Spaten,Cerveja Spaten Munich Puro Malte Pack 8 Latas 269ml Cada,"28,98",https://www.samsclub.com.br/cerveja-spaten-munich-puro-malte-pack-8-latas-269ml-cada-7891991303354/p
2026-06-24 15:24:57,Sam's Club,Spaten,Cerveja Puro Malte Spaten Munich Pack 12 Unidades de 350ml Cada,"46,98",https://www.samsclub.com.br/cerveja-puro-malte-spaten-munich-pack-12-unidades-de-350ml-cada-7891991297424/p
2026-06-24 15:24:57,Sam's Club,Michelob,Cerveja Michelob Ultra Pack 6 Garrafas 330ml Cada,"32,94",https://www.samsclub.com.br/cerveja-michelob-ultra-pack-6-garrafas-330ml-cada-7891991299619/p
2026-06-24 15:37:07,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken lata 269ml","5,49",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-lata-269ml/1000045527
2026-06-24 15:37:07,Sonda Delivery,Heineken,"Cerveja 0,0% álcool Heineken long neck 330ml","8,02",https://www.sondadelivery.com.br/delivery/produto/cerveja-00-alcool-heineken-long-neck-330ml/1000034755
2026-06-24 15:37:07,Sonda Delivery,Heineken,Cerveja Heineken barril 5 Litros,"132,21",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-barril-5-litros/1000007871
2026-06-24 15:37:07,Sonda Delivery,Heineken,Cerveja Heineken Lata - 473ml,"8,13",https://www.sondadelivery.com.br/delivery/produto/cerveja-heineken-lata---473ml/1000051283
